Azfi_scaffold_gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Azfi_s0001.g000003,53.2484081672666,-0.055324363957204,0.450752270136807,-0.122737848753181,0.902314691473934,0.996
Azfi_s0001.g000015,54.0309956232011,0.760941663862583,0.511874120192668,1.48657967622228,0.137125858882334,0.829
Azfi_s0001.g000020,616.391420396749,0.628306134793422,0.32956443607889,1.90647432189261,0.056588694113855,0.644
Azfi_s0001.g000023,3211.09424709096,-0.029942147902893,0.308136762637148,-0.097171618363994,0.922590106624516,0.996
Azfi_s0001.g000024,529.239288147039,0.022832953811605,0.382254218794227,0.059732378843662,0.952368783179608,0.999
Azfi_s0001.g000027,127.722810216782,0.172269226785309,0.357308717418542,0.482129929630341,0.62971364957519,0.992
Azfi_s0001.g000030,101.301271070838,-0.101189023400079,0.407640821467376,-0.248230839678496,0.803955806305364,0.996
Azfi_s0001.g000033,366.924245436345,-0.097965681641657,0.472983679706205,-0.207122752528181,0.835913993417196,0.996
Azfi_s0001.g000038,555.05804766695,-0.056632340827642,0.270635622543567,-0.20925678702376,0.834247783905422,0.996
Azfi_s0001.g000043,20.3847342398427,0.479317130084013,0.714734666934218,0.670622473287878,0.502461062241987,0.978
Azfi_s0001.g000045,162.408847692178,-0.022265785689646,0.403188151016213,-0.055224305658602,0.955959765363789,1.000
Azfi_s0001.g000047,325.199907353724,1.04202932143924,0.469417453151077,2.21983506246811,0.026429965875941,0.474
Azfi_s0001.g000050,335.231897387378,0.726322858854966,0.469591429368627,1.5467123406224,0.121932625999561,0.805
Azfi_s0001.g000052,760.36427787134,-0.16591936671697,0.351267363041235,-0.472344954795851,0.63668058750917,0.992
Azfi_s0001.g000056,77.0024911395515,0.033013993592734,0.442170006437888,0.07466357534898,0.94048238940788,0.997
Azfi_s0001.g000057,176.202749440008,-0.229538949171622,0.35847189396647,-0.640326209767208,0.521960544555059,0.978
Azfi_s0001.g000059,516.02594487224,0.035590018726828,0.384662740889239,0.092522656716254,0.926282790969244,0.996
Azfi_s0001.g000062,7.97623341743469,-0.703894433076352,1.03833439774276,-0.677907266297402,0.497830492522305,0.978
Azfi_s0001.g000063,85.6706163757569,-0.869708804685103,0.565783069097164,-1.53717714825387,0.124249934730333,0.810
Azfi_s0001.g000064,143.187815247863,-0.367785816571777,0.517158360852559,-0.711166722636884,0.476980927222626,0.978
Azfi_s0001.g000070,86.9837766985528,-0.180741966603858,0.438554051527606,-0.412131562744167,0.680242995537858,0.993
Azfi_s0001.g000072,146.113377604226,-0.761050483995459,0.358730300432147,-2.12151157311957,0.033878775065955,0.527
Azfi_s0001.g000074,87.0678409534275,0.517241184420564,0.501959896361223,1.03044324490884,0.302801981711191,0.943
Azfi_s0001.g000086,228.135259315733,-0.011847856756651,0.368287562578709,-0.032170124545324,0.974336381001406,1.000
Azfi_s0001.g000091,33.1966015795082,0.461739006252415,0.571215134331139,0.808345189931086,0.418891894895315,0.970
Azfi_s0001.g000094,91.4489150312987,0.431923217651933,0.412351326784933,1.0474641151748,0.294885574363685,0.941
Azfi_s0001.g000097,2783.62883786018,0.852724321612708,0.397757922721536,2.14382737062333,0.032046721384399,0.514
Azfi_s0001.g000105,69.6271694473025,-0.696512946860023,0.488968392221666,-1.42445392777918,0.154315112870916,0.854
Azfi_s0001.g000106,11.8739397673578,0.582798023066898,0.781488025038357,0.745754259047403,0.45581587573278,0.975
Azfi_s0001.g000108,446.868281859057,0.839351524453108,0.436854138416883,1.92135417898257,0.054687071058813,0.636
Azfi_s0001.g000109,3.17555558065103,-0.194489842449895,1.76168004325004,-0.110400207571796,0.912091988517812,0.996
Azfi_s0001.g000112,251.806686386038,0.079843164922342,0.393535968480173,0.2028865753509,0.839223687385347,0.996
Azfi_s0001.g000113,670.641270413723,0.518997346303519,0.482056332525264,1.07663215123581,0.281644634726116,0.939
Azfi_s0001.g000115,49.8347762297347,-0.00207736944788,0.459727346790678,-0.004518698881809,0.996394612196811,1.000
Azfi_s0001.g000116,668.649734571534,-0.164623169013152,0.393749043572674,-0.418091603523521,0.675880143710789,0.993
Azfi_s0001.g000119,335.032452734321,0.597629658300681,0.36729201713792,1.62712400600928,0.103710763463559,0.774
Azfi_s0001.g000121,20.2012786115417,-0.311207301114201,0.654759601841151,-0.47530009523969,0.634573091220619,0.992
Azfi_s0001.g000123,6.10899363849906,-0.241189899374316,1.24261784762158,-0.194098209546855,0.846098983543266,0.996
Azfi_s0001.g000124,277.854538023999,-3.15968557155334,0.456078231519314,-6.92794646442039,4.27E-12,0.000
Azfi_s0001.g000126,44.8351392771233,-0.473186747318721,0.540545558628401,-0.875387355913904,0.381363177199034,0.965
Azfi_s0001.g000127,90.8295148588153,-0.020726756823681,0.40282914871981,-0.051452971786054,0.958964575256887,1.000
Azfi_s0001.g000130,65.9529382729781,0.964104825029569,0.494790450802464,1.94851138187077,0.051353804265459,0.617
Azfi_s0001.g000131,400.294423655457,-0.426492258689288,0.301410384824012,-1.41498860080189,0.157071838294094,0.857
Azfi_s0001.g000134,17.9241682249553,-1.14139823516251,0.70169404572771,-1.62663235082577,0.103815204219778,0.774
Azfi_s0001.g000142,10.1056204582125,-1.12755314734245,0.960188044720593,-1.17430450581225,0.240273079169485,0.917
Azfi_s0001.g000148,68.6737999481337,-0.164365498851239,0.414826042738641,-0.396227531343293,0.691937182776735,0.994
Azfi_s0001.g000150,14.2054186485392,0.93389144065261,0.783916652629424,1.19131471122617,0.233530060790049,0.915
Azfi_s0001.g000151,729.466999770381,0.042577822546011,0.335822747614077,0.126786594560715,0.899109306098777,0.996
Azfi_s0001.g000152,115.18647624323,-0.230268809781351,0.410708392421126,-0.560662538264476,0.575027609785403,0.983
Azfi_s0001.g000153,1854.23898034329,0.154361840874644,0.409678082528174,0.376788135508882,0.706331058535767,0.996
Azfi_s0001.g000156,1578.43617758315,0.628786527777186,0.40325748820364,1.55926807603299,0.118932944269431,0.800
Azfi_s0001.g000157,750.48653628977,-0.237274612753591,0.320689761206206,-0.739888332764765,0.459367754414071,0.976
Azfi_s0001.g000159,2925.17145342161,0.147379368131636,0.41695842196029,0.35346298424372,0.72374137437731,0.996
Azfi_s0001.g000162,79.7201022576954,0.455445992015021,0.413242608629935,1.10212737627663,0.270406299172852,0.936
Azfi_s0001.g000164,358.269994930458,0.29665191922861,0.41179006215635,0.720396013626905,0.471281203734273,0.978
Azfi_s0001.g000166,450.321438238869,-0.015436881225682,0.405196865355321,-0.038097237529578,0.969610153844961,1.000
Azfi_s0001.g000168,620.818750751326,0.086507122025383,0.323630927831872,0.267301776764438,0.789236818863914,0.996
Azfi_s0001.g000169,81.118628838244,0.245200248957345,0.377991762832749,0.648692043233332,0.516537448380447,0.978
Azfi_s0001.g000170,9231.13469018511,0.066335104598241,0.413969083248869,0.160241687803439,0.872690691541762,0.996
Azfi_s0001.g000171,122.847399203431,-0.259688663832658,0.362353604051344,-0.716671949524369,0.473576537808709,0.978
Azfi_s0001.g000172,91.2858072352056,0.310784066490412,0.440528280100175,0.705480398261242,0.480511326247017,0.978
Azfi_s0001.g000177,625.210136557812,0.010824517535643,0.306415787833877,0.035326239591516,0.971819600216973,1.000
Azfi_s0001.g000183,9.59805774701046,0.680913334898698,0.988128840182151,0.689093676056636,0.490764319400523,0.978
Azfi_s0001.g000184,1164.35339101858,0.441960037111448,0.269388085321615,1.64060721759021,0.100878975787734,0.769
Azfi_s0001.g000185,49.7980221743053,1.03475952850939,0.526152253319614,1.96665418038383,0.049223092635586,0.609
Azfi_s0001.g000189,2545.64845939672,0.447057850407705,0.378229658758407,1.18197460208498,0.237215778595272,0.916
Azfi_s0001.g000192,77.5296016536982,-0.242096052800449,0.448035230619982,-0.540350481959736,0.58895535032968,0.984
Azfi_s0001.g000194,199.891680916371,0.443455217368886,0.325254278817538,1.36341086420467,0.172753059035182,0.876
Azfi_s0001.g000195,35.0183501519277,-0.670681773825649,0.608024770765189,-1.10305008294581,0.270005416385333,0.936
Azfi_s0001.g000196,805.538099802877,-0.305114524954229,0.544968118308197,-0.559875916964516,0.575564076631819,0.983
Azfi_s0001.g000197,23471.8392436563,-0.11113874333281,0.295041295637003,-0.37668877196617,0.706404907943465,0.996
Azfi_s0001.g000201,110.455694117145,0.307763848778757,0.352196634433557,0.873840970325393,0.382204865086236,0.965
Azfi_s0001.g000218,68.0151910224663,0.886275386272373,0.40094473157899,2.21046771903466,0.027072718485491,0.476
Azfi_s0001.g000219,1363.39181645005,-0.368435632350591,0.302814121408144,-1.21670558373333,0.223716253839849,0.914
Azfi_s0001.g000220,58.1476673609341,-0.584071782792419,0.457094388284371,-1.27779250361099,0.201322598292483,0.898
Azfi_s0001.g000223,107.581457563107,-0.173284069685942,0.430992182380368,-0.402058498437014,0.687640974867234,0.994
Azfi_s0001.g000224,133.199642806044,-0.005435882518913,0.509972566922566,-0.010659166534615,0.991495376637453,1.000
Azfi_s0001.g000226,393.894131299209,-0.447386810593107,0.354353563113251,-1.2625435642935,0.20675326071739,0.903
